latitude,longitude
-31.8419,149.174
-36.3823,141.901
-37.009,147.1061
-33.9575,149.8709
-34.6494,147.8145
-27.3994,151.0997
-29.3826,150.8262
-33.9294,147.4398
-41.4778,146.6529
-34.8306,145.9226
-35.5894,149.9645
-29.7613,152.5652
-32.3586,147.1524
-32.7558,146.4696
-34.7656,140.5251
-33.9944,148.2373
-35.6307,147.6685
-35.5817,146.664
-37.7081,146.5078
-32.6992,150.7899
-35.6489,141.99
-35.6489,143.9749
-35.6104,146.0604
-32.0012,146.7903
-29.0136,152.866
-29.911,152.8919
-41.193,147.4167
-28.5478,152.841
-37.2443,140.7892
-42.4903,147.5193
-35.8946,140.5355
-33.3798,147.3936
-28.0935,152.5645
-38.2436,146.4863
-31.8553,148.8937
-37.4609,144.0365
-30.9812,146.6448
-30.9687,151.4575
-35.6228,146.6202
-37.1912,142.2895
-27.4339,151.048
-32.5723,146.8836
-38.2306,147.1696
-36.6132,145.2977
-38.0282,143.8844
-28.776,150.3756
-37.3453,145.5944
-35.5264,146.6099
-43.1028,146.1296
-37.3541,149.7922
-32.0675,144.9915
-41.5113,147.8591
-30.7548,152.0719
-37.8808,145.3111
-36.3494,146.0518
-35.157,143.9043
-34.4673,150.8863
-37.7616,148.8893
-28.2498,147.6265
-32.3879,147.1415
-35.3215,147.1214
-37.0401,142.9405
-35.5746,147.99
-31.36,152.288
-35.9067,145.933
-29.0002,146.5625
-28.8726,140.6644
-29.3642,152.8977
-27.9336,147.7031
-34.4049,146.1209
-37.4817,149.4025
-32.7843,150.8777
-41.0991,145.3294
-42.2218,146.7913
-36.963,143.527
-37.4395,143.0293
-31.6944,146.2937
-35.7313,146.8719
-33.4119,146.9105
-29.3549,151.6816
-42.8239,147.0986
-29.1172,148.0824
-34.6355,146.9615
-28.1848,147.7602
-35.4582,148.911
-27.8111,151.2731
-33.6111,149.8425
-31.4688,151.2543
-29.1063,142.232
-38.3071,143.9452
-30.5753,147.5524
-33.0678,151.2974
-35.5188,150.0217
-36.0634,145.6442
-28.2692,150.0179
-28.3831,148.6483
-37.6201,140.8221
-36.4763,149.5452
-32.6714,150.7804
-37.3772,144.93
-35.9272,145.7952
-32.2395,148.873
-34.1133,147.1612
-27.6746,148.3255
-34.3811,140.5078
-36.7526,145.3101
-40.5167,148.1847
-36.9897,142.6273
-29.0818,148.7114
-37.6602,142.931
-42.1471,147.3815
-34.4611,150.8851
-35.1512,148.3752
-28.4789,140.5034
-33.1753,149.7701
-30.7339,152.0389
-37.4164,145.5699
-34.9951,146.9144
-33.6774,150.5746
-29.3386,146.267
-28.4172,150.1104
-35.6518,146.0187
-36.2374,140.8407
-30.7057,149.7733
-37.7369,146.5663
-32.682,150.7787
-34.4664,150.8904
-30.9295,150.8916
-37.7715,145.9553
-30.3692,151.4227
-36.2727,146.0153
-36.8221,146.1354
-29.3929,148.4027
-37.8477,147.237
-34.9254,147.0685
-32.6431,146.7284
-28.3367,149.1356
-36.1827,149.2931
-34.178,146.1723
-34.1473,147.8486
